t,value
1532093793,61
1532094694,19
1532095594,13
1532097935,32
1532098835,7
1532099735,14
1532100643,24
1532128085,21
1532128993,21
1532130372,17
1532167847,22
1532168747,13
1532185734,18
1532186634,19
1532187534,10
1532188435,16
1532189335,8
1532190970,18
1532191877,24
1532193638,16
1532194538,20
1532195439,11
1532196339,13
1532197239,15
t,value
1532199901,55
t,value
1532347365,51
1532348266,20
1532349166,9
1532350066,8
1532350966,15
1532351867,14
1532356816,13
1532357716,6
1532359077,12
1532360367,17
1532361268,19
1532362168,24
1532363068,12
1532363968,15
1532366837,174
1532382190,27
1532383091,12
1532383991,13
1532384891,17
1532385791,7
1532386692,18
1532387592,30
1532388492,25
1532389393,15
1532390293,19
1532432074,21
1532432975,13
1532433875,20
t,value
1533911966,54
1533949057,23
1533949957,9
t,value
1534434688,103
1534435589,15
1534437998,19
1534438898,13
1534439804,11
1534440705,7
1534441605,10
1534442506,24
1534448539,11
1534449439,8
t,value
1535379052,110
1535379952,20
